:START_ID,:END_ID,:TYPE,subject_entity,object_entity,source_type
companies,money,borrow,ORG,ORG,News
the biden administration,the us,blanket,ORG,ORG,News
ford,the f150 lightning,sell,ORG,PRODUCT,News
families,the new year,start,ORG,EVENT,News
families,the white house,send,ORG,ORG,News
tesla,1.2,gain,PRODUCT,PRODUCT,News
drives,arista networks,sell,PERSON,PERSON,News
ward,marketwatch,tell,ORG,ORG,News
everyone,inc.,chase,ORG,ORG,News
robloxprivately,niantic inc.,hold,ORG,ORG,News
zynga,ads,earn,PERSON,ORG,News
the federal reserve,inflation,fight,ORG,ORG,News
shortfalls,tesla,work,ORG,PRODUCT,News
pickup truck,teslas,longawaite,ORG,ORG,News
tesla,germany,receive,PRODUCT,GPE,News
workers,elon musk,push,ORG,PERSON,News
employers,talent,retain,GPE,ORG,News
2022,ohio,shift,PRODUCT,GPE,News
companies,ohio,shift,ORG,GPE,News
the u.s.,plants,build,ORG,ORG,News
firms,chip shortages,face,ORG,PERSON,News
nasdaq,2021,end,ORG,PRODUCT,News
tesla,0.3,dip,PRODUCT,PRODUCT,News
production materials,times,lead,ORG,ORG,News
sales,4.6,fall,PRODUCT,PRODUCT,News
toyota,general motors,unseat,ORG,ORG,News
rival toyota,sales,increase,PERSON,PRODUCT,News
americas,automaker,topselle,PERSON,PERSON,News
features,buyers,charge,ORG,ORG,News
buyers,features,miss,ORG,ORG,News
dustin krause,tesla,join,ORG,PRODUCT,News
christopher van dyke,tesla,cofounde,PERSON,PRODUCT,News
christopher van dyke,insider,tell,PERSON,PERSON,News
greg reichow,insider,tell,PERSON,PERSON,News
carlsson,tesla,leave,PERSON,PRODUCT,News
carlsson,insider,tell,PERSON,PERSON,News
supply,demand,outstrip,ORG,ORG,News
ford,the f150 lightning,announce,ORG,ORG,News
demand,amazon,destroy,ORG,ORG,News
companies,goods,retrieve,ORG,ORG,News
kelley blue book,shoppers,expand,ORG,PERSON,News
tesla,5.4,slide,PRODUCT,PRODUCT,News
micron technology inc.,central texas,consider,ORG,ORG,News
micron,chips,stockpile,ORG,ORG,News
businesses,jobs,fill,PERSON,PERSON,News
bloomberg,data,compile,PERSON,ORG,News
hill,techcrunch,tell,ORG,ORG,News
brands,inventory,feed,ORG,ORG,News
nike,dsw,leave,ORG,PERSON,News
stores,nike,carry,ORG,ORG,News
dsw,nike,sell,PERSON,ORG,News
dsw,nike,replace,PERSON,ORG,News
covid19,innovation,accelerate,PERSON,NORP,News
australia,furman,stay,GPE,PERSON,News
canon,customers,bypass,PRODUCT,ORG,News
u.s.,china,cut,GPE,GPE,News
consumers,goods,buy,GPE,ORG,News
demand,supply,outstrip,ORG,ORG,News
nicolas peter,reuters,tell,PERSON,ORG,News
nothing,demand,reduce,GPE,ORG,News
2019,tesla,announce,PRODUCT,PRODUCT,News
2023,cybertruck,delay,PRODUCT,ORG,News
intel,greater columbus,pick,ORG,PERSON,News
sellers,mpb,fill,ORG,ORG,News
ford,spin,divest,ORG,ORG,News
ford,techcrunch ford,tell,ORG,ORG,News
gogoro,taiwan,dominate,ORG,GPE,News
rivian,techcrunch,tell,NORP,ORG,News
cake,dometics,mount,PERSON,ORG,News
cadence,apps,acquire,ORG,ORG,News
cadence,chips,acquire,ORG,ORG,News
tesla,2021,start,PRODUCT,PRODUCT,News
inc. report,peloton,replace,ORG,PERSON,News
strauss,mobile,need,PERSON,GPE,News
players,games,play,ORG,PRODUCT,News
the us,verizon,set,ORG,GPE,News
mitsubishi motors de mexico,shortages,anticipate,ORG,ORG,News
russia,ukraine,invade,GPE,GPE,News
samsung electronics co.,intel,overtake,ORG,ORG,News
demand,manufacturers,meet,ORG,ORG,News
companies,ohio,offer,ORG,GPE,News
ohio,intel,pick,GPE,ORG,News
inflation,automobiles,manufacture,ORG,PERSON,News
steps,chip shortages,address,PERSON,PERSON,News
intel,plan,confirm,ORG,PERSON,News
intel,danley,admit,ORG,ORG,News
gpu,intel,ship,ORG,ORG,News
amd,share,gain,ORG,ORG,News
biden,congress,pass,PERSON,ORG,News
vmware,emc,merge,ORG,ORG,News
mount pleasant,intel,pick,ORG,ORG,News
wisconsin,ohio,pick,GPE,GPE,News
the us,tsmc,build,ORG,ORG,News
starlink,insider,secure,PERSON,PERSON,News
100,insider,pay,PRODUCT,PERSON,News
gelsinger,time,tell,PERSON,ORG,News
time,gelsinger,tell,ORG,PERSON,News
customers,maverick maverick,buy,ORG,PERSON,News
mavericks,customers,buy,ORG,ORG,News
ford,demand,forecast,ORG,ORG,News
the commerce department,data,submit,ORG,ORG,News
stellantis stla.mi,minivans,build,ORG,NORP,News
products,chips,contain,ORG,ORG,News
analog devicesthey,chip ip,design,ORG,PERSON,News
analog devicesthey,wafer fab equipment,buy,ORG,ORG,News
intel,tsmc,use,ORG,ORG,News
alexgoogle,topics,propose,ORG,ORG,News
the company,machine,learn,ORG,ORG,News
startup sylvera,machine,learn,PERSON,ORG,News
something,bitcoin,create,PERSON,GPE,News
imports,pay,hurt,ORG,GPE,News
raimondo,lawmakers,pass,PERSON,PERSON,News
texas instruments,capacity,add,ORG,ORG,News
manufacturers,chips,nee,ORG,ORG,News
capacity,chips,manufacture,ORG,ORG,News
brokers,semiconductors,sell,ORG,GPE,News
businesses,semiconductors,produce,PERSON,GPE,News
businesses,semiconductors,use,PERSON,GPE,News
the u.s.,the strategic petroleum reserve,establish,ORG,ORG,News
inventories,businesses,meet,ORG,PERSON,News
businesses,inventories,draw,PERSON,ORG,News
riffles,clients,diversify,PERSON,ORG,News
businesses,inventories,meet,PERSON,ORG,News
canada,mexico,join,GPE,GPE,News
the company,inventory,build,ORG,ORG,News
tesla inc.,sales,report,ORG,PRODUCT,News
tesla,model ys,building,PRODUCT,PERSON,News
intel,revenue,forecast,ORG,PRODUCT,News
teslas,customers,use,ORG,ORG,News
governments,consumers,entice,NORP,GPE,News
youre,consumers,ask,PERSON,GPE,News
tesla,earnings,post,PRODUCT,ORG,News
biden,general motors,present,PERSON,ORG,News
inc. report,earnings,post,ORG,ORG,News
tesla,earnings,report,PRODUCT,ORG,News
retailers,goods,import,PERSON,ORG,News
shortages,apple inc.,cost,ORG,ORG,News
inflation,companies,hurt,ORG,ORG,News
companies,inflation,affect,ORG,ORG,News
businesses,inventories,replenish,PERSON,ORG,News
savings,consumers,deplete,ORG,GPE,News
apple,earnings,report,ORG,ORG,News
rollsroyce,insider,tell,PERSON,PERSON,News
earnings,the company,report,ORG,ORG,News
tesla,model 3,sell,PRODUCT,ORG,News
billy steele,time,spend,PERSON,ORG,News
kyle dumont,techcrunch,tell,PERSON,ORG,News
ohio,intel,attract,GPE,ORG,News
the california dmv,waymo,ask,ORG,ORG,News
market,californias,head,PERSON,PERSON,News
batteries,things,build,GPE,GPE,News
tesla,innovation,represent,PRODUCT,NORP,News
musk,upfront,announce,ORG,ORG,News
russia,ukraine,reinvade,GPE,GPE,News
meta,data,train,ORG,ORG,News
founder,nike,transition,PERSON,ORG,News
smartphones,thesell,use,PERSON,ORG,News
cnbc,rick cassidy,tell,ORG,PERSON,News
taiwan semiconductor manufacturing company,chips,produce,ORG,ORG,News
china,morris chang,create,GPE,PERSON,News
morris chang,tsmc,found,PERSON,ORG,News
the taiwan stock exchange,tsmc,list,ORG,ORG,News
taiwan,something,face,GPE,PERSON,News
sony,inventory,building,ORG,ORG,News
sony,shortages,expect,ORG,ORG,News
sony,money,lose,ORG,ORG,News
ebit,earnings,adjust,ORG,ORG,News
intel,sapphire rapids,launch,ORG,GPE,News
amd,earnings,release,ORG,ORG,News
usa today.in,vedant patel,tell,ORG,PERSON,News
the federal reserve,credit,tighten,ORG,PERSON,News
ford motor co.,chip shortages,sidestep,ORG,PERSON,News
chip shortages,chevy,delay,PERSON,ORG,News
biden,lawmakers,reach,PERSON,PERSON,News
ford,sales,report,ORG,PRODUCT,News
intel,money,lose,ORG,ORG,News
samsung,intel,overtake,ORG,ORG,News
google,search,withdraw,ORG,ORG,News
sunroom,users,offer,ORG,ORG,News
ford,customers,warn,ORG,ORG,News
market,tesla,bring,PERSON,PRODUCT,News
earnings,ford,announce,ORG,ORG,News
the commission,companies,demand,ORG,ORG,News
spacex,fiji,select,ORG,GPE,News
honda,plan,stick,ORG,PERSON,News
wages,inflation,outrun,PERSON,ORG,News
inflation,earnings,hit,ORG,ORG,News
smic,shanghai,open,ORG,ORG,News
smic,fab,open,ORG,ORG,News
covid,omicron,shift,PERSON,ORG,News
companies,productivity,boost,ORG,ORG,News
inflation,the fed,force,ORG,ORG,News
michael brush,clr,suggest,PERSON,ORG,News
general motors,things,accelerate,ORG,GPE,News
twitter,cadillac,post,GPE,ORG,News
reuters,information,share,ORG,ORG,News
sulagna saha,chris evans,bring,PERSON,PERSON,News
softbank,arm,buy,ORG,ORG,News
softbank,stock,buy,ORG,ORG,News
intels,foundry business,form,GPE,ORG,News
edmunds,data,track,GPE,ORG,News
scrona ag,customers,print,ORG,ORG,News
advanced micro devices,eps,post,ORG,ORG,News
steve,iphone,reveal,PERSON,ORG,News
developers,services,sell,PERSON,ORG,News
fitness,customers,inspire,ORG,ORG,News
shopify,macbook pro,m1powere,ORG,ORG,News
marketwatch,stanley,ask,ORG,PERSON,News
inflation,momentum,gather,ORG,PRODUCT,News
fed,inflation,bring,ORG,ORG,News
the fed,inflation,bring,ORG,ORG,News
the us,challenges,face,ORG,PERSON,News
the uk government,ukraine,depart,ORG,GPE,News
the us,russia,sanction,ORG,GPE,News
plants,tsmc,build,ORG,ORG,News
san francisco,moov,cofounde,GPE,ORG,News
corning,glass,provide,ORG,PERSON,News
intel,manufacturing,integrate,ORG,ORG,News
manufacturers,pressures,face,ORG,ORG,News
lg display,lx semicon,supply,ORG,ORG,News
theyre,vehicles,tell,ORG,GPE,News
demand,supply,achieve,ORG,ORG,News
portuguese navy,things,handle,ORG,GPE,News
apple,vendors,inform,ORG,PRODUCT,News
bosch,fab,extend,ORG,ORG,News
chipmakers,demand,meet,PRODUCT,ORG,News
the us,russia,slap,ORG,GPE,News
firms,chips,produce,ORG,ORG,News
firms,chips,identify,ORG,ORG,News
london,taur,launch,GPE,ORG,News
veo,the cosmo 2,introduce,PERSON,PRODUCT,News
axlehire,covet shipping,acquire,ORG,PERSON,News
customers,nikola corp.,buy,ORG,ORG,News
arbe robotics,thilo koslowski,appoint,PERSON,PERSON,News
fort lauderdale,elon musk,build,GPE,PERSON,News
the united states,china,mimic,GPE,GPE,News
panelists,times,lead,NORP,ORG,News
earnings,micron,report,ORG,ORG,News
nothing,techcrunch,announce,GPE,ORG,News
jason keats,techcrunch,tell,PERSON,ORG,News
russias,twitter,accuse,GPE,GPE,News
sergei shoigu,guterres,tell,PERSON,PERSON,News
russia,crimea,annex,GPE,GPE,News
rivian,customers,allow,NORP,ORG,News
the united states,crimea,annex,GPE,GPE,News
lawmakers,wardlaw,tell,PERSON,PERSON,News
ford,spin,buy,ORG,ORG,News
tier,the u.s.,enter,ORG,ORG,News
tesla,a tim cook,need,PRODUCT,PERSON,News
cofounder,cheng lu,succeed,ORG,PERSON,News
rivian,panasonic,tap,NORP,ORG,News
oklahoma,panasonic,purchase,GPE,ORG,News
talent,respondents,cite,ORG,ORG,News
billions,carmakers,invest,GPE,ORG,News
rivian,numbers,report,NORP,ORG,News
the future fund,black,publish,ORG,NORP,News
twitter,black,post,GPE,NORP,News
twitter,tesla,post,GPE,PRODUCT,News
german,tesla,post,NORP,PRODUCT,News
models,consumers,pull,PERSON,GPE,News
models,tesla,buy,PERSON,PRODUCT,News
quah,products,recommend,PERSON,ORG,News
retailers,goods,sell,PERSON,ORG,News
businesses,the biden administration,require,PERSON,ORG,News
intel,germany,pick,ORG,GPE,News
apple,revenue,expect,ORG,PRODUCT,News
advertisement ford,explorers,shipping,ORG,PRODUCT,News
advertisement ford,explorers,build,ORG,PRODUCT,News
germany,intel,welcome,GPE,ORG,News
the labor department,consumers,hit,ORG,GPE,News
stellantis,vehicles,produce,NORP,GPE,News
bloom,khan,join,NORP,PERSON,News
microsoft,consumers,deceive,ORG,GPE,News
sony,consumers,deceive,ORG,GPE,News
ford,reuters,tell,ORG,ORG,News
chip shortages,sales,pressure,PERSON,PRODUCT,News
pei,essential ip,purchase,PERSON,ORG,News
2020,general motors,issue,PRODUCT,ORG,News
mercedesbenz,software,tweak,ORG,ORG,News
general motors,toyota,dethrone,ORG,ORG,News
coleman,insider,tell,PERSON,PERSON,News
customers,hardware,pick,ORG,ORG,News
business ford,the f150 lightning,unveil,ORG,PRODUCT,News
plant,general motors,sell,GPE,ORG,News
fiat chrysler,the company,know,ORG,ORG,News
valves,steam deck,launch,ORG,ORG,News
automakersre,features,strip,ORG,ORG,News
demand,supply,outpace,ORG,ORG,News
south carolina,spoiler,play,GPE,ORG,News
facebook,tiktok,malign,PERSON,GPE,News
google,ads,! sell,ORG,ORG,News
volvo,chip shortages,blame,ORG,PERSON,News
buyers,equity,build,ORG,ORG,News
companies,inventories,reduce,ORG,ORG,News
ukrainians,the united states,work,NORP,GPE,News
biden,office,enter,PERSON,ORG,News
something,information,gather,PERSON,ORG,News
schools,kids,treat,GPE,PERSON,News
partners,access,nee,ORG,PERSON,News
the white house,twitter,use,ORG,GPE,News
motorola,semiconductors,manufacturing,ORG,GPE,News
2019,apple,announce,PRODUCT,ORG,News
the white house,congress,push,ORG,ORG,News
the white house,congress,approve,ORG,ORG,News
white oak bayou,houston,meet,ORG,GPE,News
the associated press,matthew brown,report,ORG,PERSON,News
silicon,batteries,solidstate,NORP,GPE,News
investigation bureau,reuters,tell,ORG,ORG,News
lawmakers,consensus,reach,PERSON,ORG,News
consumers,money,spend,GPE,ORG,News
consumers,children,equip,GPE,PERSON,News
2021,demand,pull,PRODUCT,ORG,News
google,employees,offering,ORG,ORG,News
the model s. rawlinson,tesla,leave,ORG,PRODUCT,News
models,consumers,reach,PERSON,GPE,News
the white house,lawmakers,incentivize,ORG,PERSON,News
the white house,congress,pass,ORG,ORG,News
evs,toyoda,criticize,PERSON,PERSON,News
tesla,tesla cybertruck,! make,PRODUCT,ORG,News
congress,research,boost,ORG,ORG,News
taiwan semiconductor,thestreets bruce kamich,follow,ORG,PERSON,News
tesla,nhtsa,grill,PRODUCT,ORG,News
authorities,nhtsa,empower,ORG,ORG,News
data,nhtsa,collect,ORG,ORG,News
tesla,autopilot,market,PRODUCT,ORG,News
chair lina khan,information,reveal,PERSON,ORG,News
nhtsa,tesla,tell,ORG,PRODUCT,News
nhtsa,tesla,! take,ORG,PRODUCT,News
setlock,insider,tell,ORG,PERSON,News
setlock,longterm,hold,ORG,NORP,News
setlock,insider setlock,tell,ORG,PERSON,News
managers,employees,attend,ORG,ORG,News
stan pavlovsky,rivians,start,PERSON,NORP,News
scaringe,reuters,tell,ORG,ORG,News
nhtsa,tesla,grill,ORG,PRODUCT,News
house,lawmakers,join,ORG,PERSON,News
twitter,musk,buy,GPE,ORG,News
tesla inc report,musk,distract,PERSON,ORG,News
autonomy,musk,optimize,PERSON,ORG,News
oklahoma,panasonic,eye,GPE,ORG,News
the united states,world war ii,enter,GPE,EVENT,News
the white house,congress,press,ORG,ORG,News
schumer,albanys nanotech complex,consider,PERSON,ORG,News
schumer,albanys nanotech complex,tour,PERSON,ORG,News
washington,lawmakers,return,GPE,PERSON,News
elizabeth warren dmass,republicans,accuse,PERSON,NORP,News
manchin,the central bank,accuse,PERSON,ORG,News
manchin,the biden administration,accuse,PERSON,ORG,News
republicans,powell,support,NORP,PERSON,News
inflation,families,tax,ORG,ORG,News
dmass,republicans,accuse,ORG,NORP,News
dmass,democrats,warn,ORG,NORP,News
iphone,apple,cut,ORG,ORG,News
chip shortages,apple,cut,PERSON,ORG,News
the russiaukraine war,revenue,affect,EVENT,PRODUCT,News
need,stock,clean,PERSON,ORG,News
microsoft corporation report,earnings,post,ORG,ORG,News
musk,twitter,! troll,ORG,GPE,News
united rentals,expectations,crush,ORG,PERSON,News
carmaker,outlook,hold,ORG,GPE,News
apple inc,chip shortages,manage,ORG,PERSON,News
consumers,new iphones,snap,GPE,GPE,News
manufacturers,vehicles,sell,ORG,GPE,News
covid19,demand,lockdown,PERSON,ORG,News
buyers,spending,cut,ORG,GPE,News
goods,companies,hike,ORG,ORG,News
subscriptions,companies,hike,ORG,ORG,News
supply,shortfalls,face,ORG,ORG,News
challenges,apple,expect,PERSON,ORG,News
challenges,apple inc.,expect,PERSON,ORG,News
lucid,tesla,beat,PERSON,PRODUCT,News
vic laranja,things,building,PERSON,GPE,News
laranja,bitcoin,choose,NORP,GPE,News
the company,clients,expand,ORG,ORG,News
biden,ohio,lose,PERSON,GPE,News
earnings,expectations,beat,ORG,PERSON,News
the us,semiconductors,ship,ORG,GPE,News
japan,semiconductors,ship,GPE,GPE,News
9to5mac,tsmc,appear,PRODUCT,ORG,News
sp global market intelligence,data,provide,ORG,ORG,News
california,amd,headquarter,GPE,ORG,News
amd,intel,catch,ORG,ORG,News
talent,respondents,fill,ORG,ORG,News
subject content request,email,protect,ORG,ORG,News
pat gelsinger,cnbc,tell,PERSON,ORG,News
sales,revenue,boost,PRODUCT,PRODUCT,News
evs,sales,dominate,PERSON,PRODUCT,News
tesla,money,spend,PRODUCT,ORG,News
chip shortages,sony,plague,PERSON,ORG,News
earnings,sony,report,ORG,ORG,News
brown,eaton,tell,PERSON,ORG,News
jessica caldwell,the philadelphia inquirer,tell,PERSON,ORG,News
usdot,research,conduct,ORG,ORG,News
manufacturers,nhtsa,certify,ORG,ORG,News
nhtsa,fmvss nos,amend,ORG,ORG,News
google,features,collect,ORG,ORG,News
"27,505.50",bitcoin,trade,PRODUCT,GPE,News
china,covid19,lockdown,GPE,PERSON,News
hannes niederhauser,st group,join,PERSON,ORG,News
fratzke,business,slow,ORG,GPE,News
demand,volkswagen group,sell,ORG,ORG,News
revenue,4.5,increase,PRODUCT,PRODUCT,News
china,shanghai,lock,GPE,GPE,News
blackburns twitter,linkedin,list,GPE,PERSON,News
bloomberg newsstarbucks,russia,exit,ORG,GPE,News
intel,capacity,create,ORG,ORG,News
logistics,inne,concentrate,ORG,GPE,News
chip shortages,everyone,affect,PERSON,ORG,News
innes,techcrunch,tell,ORG,ORG,News
inne,users,tell,GPE,ORG,News
users,challenges,understand,ORG,PERSON,News
lexisnexis risk solutions,insights,provide,ORG,ORG,News
businesses,risk,reduce,PERSON,PRODUCT,News
nvidia,arm,acquire,ORG,ORG,News
industry,jobs,create,ORG,PERSON,News
ford,money,waste,ORG,ORG,News
kfc,psyduck,handing,ORG,PRODUCT,News
inflation,ukraine,stoke,ORG,GPE,News
intel,techcrunch,tell,ORG,ORG,News
techcrunch,esfarjani,tell,ORG,PERSON,News
chinas,authorities,impose,ORG,ORG,News
stellantis stla.mi,chips,! ship,ORG,ORG,News
customers,insider customersre,tell,ORG,PERSON,News
forresters chhabra,symantec,acquire,ORG,ORG,News
2023,sales,grow,PRODUCT,PRODUCT,News
2023,earnings,grow,PRODUCT,ORG,News
2021,alphabet,generate,PRODUCT,ORG,News
musk,workers,hire,ORG,ORG,News
musk,sandbulte,dismiss,ORG,ORG,News
tesla,signs,stop,PRODUCT,PERSON,News
musk,employees,tell,ORG,ORG,News
consumers,edmunds.com,want,GPE,ORG,News
inc. report,tesla,challenge,ORG,PRODUCT,News
jim farley,tesla,! mock,PERSON,PRODUCT,News
the f150 lightning,power,deliver,PRODUCT,GPE,News
firms,russia,quit,ORG,GPE,News
taiwan,chips,nee,GPE,ORG,News
the united states,u.s.,restrict,GPE,GPE,News
walmart,goods,clear,ORG,ORG,News
denso corp 6902.t,semiconductors,sell,ORG,GPE,News
kato,bloomberg,cite,PERSON,PERSON,News
global chip shortage,companies,plague,ORG,ORG,News
chipmakers,customers,turn,PRODUCT,ORG,News
inc. report,nothing,spend,ORG,GPE,News
tesla,vehicles,deliver,PRODUCT,GPE,News
fed,inflation,rein,ORG,ORG,News
the central bank,inflation,bring,ORG,ORG,News
pipe obviously,dont,distract,ORG,ORG,News
roger,techcrunch,tell,PERSON,ORG,News
2021,the proxy,release,PRODUCT,ORG,News
governments,firms,treat,NORP,ORG,News
russia,crimea,invade,GPE,GPE,News
intel,the us,help,ORG,ORG,News
china,investment,pour,GPE,ORG,News
brightdrop,fedex brightdrop,provide,ORG,ORG,News
cars.com,vehicles,rank,ORG,GPE,News
ford,evs,! offer,ORG,PERSON,News
insider,data,comb,PERSON,ORG,News
barrons,intel,confirm,PRODUCT,ORG,News
ohio,intel,envision,GPE,ORG,News
globitech,texas,select,ORG,GPE,News
eap,signs,stop,ORG,PERSON,News
samsung,leadership,demonstrate,ORG,ORG,News
ford,7201.t  ,report,ORG,PERSON,News
micron,chipmakers,include,ORG,PRODUCT,News
republicans,democrats,ditch,NORP,NORP,News
the eus markets,companies,obtain,ORG,ORG,News
companies,workers,lay,ORG,ORG,News
2021,the tesla model 3,rank,PRODUCT,PRODUCT,News
engineers,products,find,ORG,ORG,News
klausner,venturebeat,tell,PERSON,ORG,News
engineers,circuits,lie,ORG,GPE,News
republicans,biden,blame,NORP,PERSON,News
inoue,reuters,tell,ORG,ORG,News
buying,evs,lease,NORP,PERSON,News
mercedesbenz,mercedesbenz eclass,offer,ORG,ORG,News
manufacturers,chips,use,ORG,ORG,News
taipei,companies,prohibit,ORG,ORG,News
spain,banks,tax,GPE,ORG,News
foxconn,reuters,refer,GPE,ORG,News
consumers,inflation,face,GPE,ORG,News
tesla,layoffs,announce,PRODUCT,ORG,News
tesla,restructuring,announce,PRODUCT,PERSON,News
supply,demand,exceed,ORG,ORG,News
americans,food,buy,NORP,ORG,News
kelvin pang,chips,buy,PERSON,ORG,News
americas frontier fund,investment,restore,ORG,ORG,News
barra,elon musk,beat,ORG,PERSON,News
tesla,layoffs,start,PRODUCT,ORG,News
foxconn,services,provide,GPE,ORG,News
bell,workers,shift,ORG,ORG,News
the u.s.,ukraine,defend,ORG,GPE,News
tesla,revenue,grow,PRODUCT,PRODUCT,News
chips act,congress,pass,PRODUCT,ORG,News
cryptocurrency,something,! be,NORP,PERSON,News
autonation,californiabased cig financial,acquire,ORG,ORG,News
insider,christensen,tell,PERSON,PERSON,News
shibata,employees,thank,PERSON,ORG,News
ifs,value,provide,ORG,PERSON,News
general motors,spending,curb,ORG,GPE,News
consumers,vehicles,lease,GPE,GPE,News
cerans,volkswagen id.4,check,NORP,ORG,News
china,billions,invest,GPE,GPE,News
manchin,build,support,PERSON,PERSON,News
nxp,demand,report,ORG,ORG,News
motors co gm.n,spending,curb,PERSON,GPE,News
space,innovation,develop,PERSON,NORP,News
biden,rala,meet,PERSON,GPE,News
companies,chips,produce,ORG,ORG,News
palkhiwala,marketwatch,tell,GPE,ORG,News
finnegan,sec info,launch,GPE,ORG,News
chips,tsmc,produce,ORG,ORG,News
china,research,compete,GPE,ORG,News
chinare,research,compete,PERSON,ORG,News
ford,the f150 lightning,justlaunche,ORG,ORG,News
june,apple,post,PRODUCT,ORG,News
inflation,independents,motivate,ORG,NORP,News
jnicholsonindc,susan collins,tell,PERSON,PERSON,News
consumers,power,purchase,GPE,GPE,News
johnson,insider,tell,PERSON,PERSON,News
businesses,products,provide,PERSON,ORG,News
businesses,services,provide,PERSON,ORG,News
times,stocks,buy,ORG,PERSON,News
times,stocks,sell,ORG,PERSON,News
the justice department,trump,indict,ORG,ORG,News
the republican party,the white house,win,ORG,ORG,News
haje,humanforest,love,ORG,ORG,News
jetblue,spirit,acquire,ORG,PERSON,News
apple,program,hire,ORG,ORG,News
general motors,things,kick,ORG,GPE,News
raimondo,pompeo,recall,PERSON,GPE,News
biden,raimondo,tell,PERSON,PERSON,News
amd,amd 5,deliver,ORG,ORG,News
capacity,reuters,! put,ORG,ORG,News
nintendo,semiconductors,procure,NORP,GPE,News
chair mark liu,cnn,tell,PERSON,ORG,News
mehrotra,the post,tell,PERSON,ORG,News
capacity,technologies,expand,ORG,ORG,News
traton 8tra.de,earnings,report,PERSON,ORG,News
intel,oregon,pass,ORG,GPE,News
ohio,intel,support,GPE,ORG,News
china,companies,prevent,GPE,ORG,News
research,innovation,fuel,ORG,NORP,News
carrie,hgtv,watch,PERSON,ORG,News
the u.s.,covid19,hit,ORG,PERSON,News
numbers,concerns,raise,ORG,PERSON,News
drury,research,complete,ORG,ORG,News
amazon,roomba,favor,ORG,PERSON,News
batteries,evs,power,GPE,PERSON,News
the u.s.,batteries,come,ORG,GPE,News
research,priority,! be,ORG,ORG,News
research,investment,! be,ORG,ORG,News
innovation,priority,! be,NORP,ORG,News
innovation,investment,! be,NORP,ORG,News
intel,ohios,! build,ORG,GPE,News
ohio,intel,lure,GPE,ORG,News
intel,companies,offer,ORG,ORG,News
customers,times,experience,ORG,ORG,News
brinkman,audi mckinney,use,PERSON,PERSON,News
customers,huth,tell,ORG,PERSON,News
tesla,china,enter,PRODUCT,GPE,News
2022,growth,! repeat,PRODUCT,ORG,News
protocol,xing,tell,GPE,PERSON,News
retailers,inventories,replenish,PERSON,ORG,News
manufacturers,inventories,replenish,ORG,ORG,News
rivian,customers,lose,NORP,ORG,News
china,semiconductors,use,GPE,GPE,News
chang,tsmc,found,PERSON,ORG,News
chang,reuters,tell,PERSON,ORG,News
china,engineers,recruit,GPE,ORG,News
